,Toilet Name,Area,Location,Provider,Latitude,Longitude,Eastings,Northings,Postcode,Grid Ref,Location Notes:,24 hours,Open,Closed,Days of the Week open,Open Season - Summer,Closed Season-Winter,Time Notes:,Male,Female,Unisex,Disabled,RADAR,Baby Change,Location of Baby Change,Attendant,Automatic?,Special Provisons,Car Parking, Cost ,Report Problems,Date,Data Collected from,
Northumberland,/,Blyth,"Ranch Car Park, Blyth Links",/,/,/,/,/,/,/,/,/,/,/,/,/,/,"Open April to October 07:30hrs to 19:00hrs, November to March 07:30hrs to 15:30hrs Monday to Friday, 07:30hrs to 18:00hrs Saturday and Sunday.",1,1,0,1,Yes,0,/,0,/,/,/, No Charge ,/,15/03/2014,http://www.northumberland.gov.uk/default.aspx?page=3178#parish,
Northumberland,/,Seaton Sluice,"Fountainhead Bank Car Park, Seaton Sluice",/,/,/,/,/,/,/,/,/,/,/,/,/,/,"Open April to October 07:30hrs to 20:00hrs, November to March 07:30hrs to 15:30hrsÿMonday to Thursday, 07:30hrs to 15:00hrs Friday, 07:30hrs to 18:00hrs Saturday and Sunday",1,1,0,1,Yes,1,/,0,/,/,/, No Charge ,/,15/03/2014,http://www.northumberland.gov.uk/default.aspx?page=3178#parish,
Northumberland,/,Seaton Sluice,West Terrace near Seaton Sluice Harbour,/,/,/,/,/,/,/,/,/,/,/,/,/,/,"Open April to October 07:30hrs to 20:00hrs, November to March 07:30hrs to 15:30hrsÿMonday to Thursday, 07:30hrs to 15:00hrs Friday, 07:30hrs to 18:00hrs Saturday and Sunday",1,1,0,1,Yes,0,/,0,/,/,/, No Charge ,/,15/03/2014,http://www.northumberland.gov.uk/default.aspx?page=3178#parish,
Northumberland,/,Seaton Delaval,Seaton Delaval Roundabout,/,/,/,/,/,/,/,/,/,/,/,/,/,/,"Open April to October 07:30hrs to 20:00hrs, November to March 07:30hrs to 15:30hrsÿMonday to Thursday, 07:30hrs to 15:00hrs Friday, 07:30hrs to 18:00hrs Saturday and Sunday",1,1,0,1,Yes,0,/,0,/,/,/, No Charge ,/,15/03/2014,http://www.northumberland.gov.uk/default.aspx?page=3178#parish,
Northumberland,/,Hexham,"Market Place, Allendale, Hexham",/,/,/,/,/,/,/,/,/,/,/,/,/,/,"Open April to October 07:30hrs to 20:00hrs, November to March 07:30hrs to 15:30hrsÿMonday to Thursday, 07:30hrs to 15:00hrs Friday, 07:30hrs to 18:00hrs Saturday and Sunday",1,1,0,1,Yes,0,/,0,/,/,/, No Charge ,/,15/03/2014,http://www.northumberland.gov.uk/default.aspx?page=3178#parish,
Northumberland,/,Hexham,"The Heritage Centre, Allenheads, Hexham",/,/,/,/,/,/,/,/,/,/,/,/,/,/,"Open April to October 07:30hrs to 20:00hrs, November to March 07:30hrs to 15:30hrsÿMonday to Thursday, 07:30hrs to 15:00hrs Friday, 07:30hrs to 18:00hrs Saturday and Sunday",1,1,0,0,No,0,/,0,/,/,/, No Charge ,/,15/03/2014,http://www.northumberland.gov.uk/default.aspx?page=3178#parish,
Northumberland,/,Hexham,"Main Street, Bellingham, Hexham",/,/,/,/,/,/,/,/,/,/,/,/,/,/,Open May to September 07:00hrs to 21:00hrs / ÿOctober to April 07:30hrs to 20:00hrs.,1,1,0,1,Yes,0,/,0,/,/,/, No Charge ,/,15/03/2014,http://www.northumberland.gov.uk/default.aspx?page=3178#parish,
Northumberland,/,Hexham,"The Square, Blanchland, Hexham",/,/,/,/,/,/,/,/,/,/,/,/,/,/,Open May to September 08:00hrs to 21:00hrs./October to April 09:00hrs to 21:00hrs.,1,1,0,0,No,0,/,0,/,/,/, No Charge ,/,15/03/2014,http://www.northumberland.gov.uk/default.aspx?page=3178#parish,
Northumberland,/,Hexham,"Princes Street, Corbridge, Northumberland",/,/,/,/,/,/,/,/,/,/,/,/,/,/,Open May to September 07:00hrs to 21:00hrs /October to April 07:30hrs to 19:00hrs.,1,1,0,1,Yes,0,/,0,/,/,/, No Charge ,/,15/03/2014,http://www.northumberland.gov.uk/default.aspx?page=3178#parish,
Northumberland,/,Hexham,"Westgate, Haltwhistle",/,/,/,/,/,/,/,/,1,/,/,/,/,/,/,1,1,0,1,Yes,0,/,0,/,/,/, No Charge ,/,15/03/2014,http://www.northumberland.gov.uk/default.aspx?page=3178#parish,
